"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","16-Jul-2021","        525.45","        527.00","        543.40","        525.95","        540.95","        541.15","        537.93","   11043791","          5940802604.70","     152303","    3993243","         36.16"
"BHARTIARTL","EQ","19-Jul-2021","        541.15","        539.00","        544.70","        529.30","        535.60","        538.45","        539.66","    8962285","          4836579078.15","     124002","    3236876","         36.12"
"BHARTIARTL","BL","20-Jul-2021","        334.00","        538.45","        538.45","        538.45","        538.45","        538.45","        538.45","     361879","           194853747.55","          1","-","-"
"BHARTIARTL","EQ","20-Jul-2021","        538.45","        536.45","        536.80","        523.00","        525.30","        525.75","        527.30","    7505544","          3957651837.85","     117673","    4111061","         54.77"
"BHARTIARTL","EQ","22-Jul-2021","        525.75","        531.10","        548.00","        523.65","        547.60","        546.70","        537.77","   19847956","         10673637878.15","     216329","    8273743","         41.69"
"BHARTIARTL","BL","23-Jul-2021","        538.45","        546.70","        546.70","        546.70","        546.70","        546.70","        546.70","     366245","           200226141.50","          1","-","-"
"BHARTIARTL","EQ","23-Jul-2021","        546.70","        547.70","        560.65","        532.75","        546.80","        548.30","        550.18","   32588978","         17929863694.80","     341507","   13729403","         42.13"
"BHARTIARTL","EQ","26-Jul-2021","        548.30","        545.00","        553.85","        542.10","        543.00","        544.05","        547.87","    5118493","          2804279214.40","      78207","    1817804","         35.51"
"BHARTIARTL","BL","27-Jul-2021","        546.70","        544.05","        544.05","        544.05","        544.05","        544.05","        544.05","     360069","           195895539.45","          1","-","-"
"BHARTIARTL","EQ","27-Jul-2021","        544.05","        545.80","        545.80","        536.15","        540.15","        540.55","        540.88","    5727485","          3097905205.25","      80922","    3198327","         55.84"
"BHARTIARTL","EQ","28-Jul-2021","        540.55","        539.50","        570.70","        537.85","        567.80","        567.90","        559.81","   31932505","         17876254010.50","     387434","   11524077","         36.09"
"BHARTIARTL","EQ","29-Jul-2021","        567.90","        574.10","        576.70","        565.00","        567.00","        567.15","        570.61","   15552340","          8874254806.00","     198829","    6418504","         41.27"
"BHARTIARTL","EQ","30-Jul-2021","        567.15","        565.90","        568.50","        557.80","        564.75","        561.65","        562.88","    9938812","          5594328208.75","     156191","    5322674","         53.55"
"BHARTIARTL","EQ","02-Aug-2021","        561.65","        566.00","        569.95","        560.00","        565.20","        565.15","        564.75","    6254864","          3532436890.25","      93942","    2315500","         37.02"
"BHARTIARTL","EQ","03-Aug-2021","        565.15","        568.00","        582.00","        562.10","        578.35","        580.20","        576.48","   21280806","         12267867924.50","     210672","    8628293","         40.54"
"BHARTIARTL","EQ","04-Aug-2021","        580.20","        575.00","        586.90","        570.30","        574.60","        574.40","        577.95","   21414510","         12376468144.25","     235946","    7074494","         33.04"
"BHARTIARTL","EQ","05-Aug-2021","        574.40","        577.50","        619.00","        577.50","        596.60","        598.70","        602.47","   71088770","         42828882475.70","     680710","   19795693","         27.85"
"BHARTIARTL","EQ","06-Aug-2021","        598.70","        594.50","        616.95","        588.50","        607.55","        607.90","        607.70","   28520160","         17331650760.80","     282390","    8301288","         29.11"
"BHARTIARTL","EQ","09-Aug-2021","        607.90","        610.00","        612.70","        597.55","        598.00","        599.25","        602.69","    9892910","          5962324949.95","     116641","    3587959","         36.27"
"BHARTIARTL","EQ","10-Aug-2021","        599.25","        602.20","        628.00","        598.40","        621.90","        622.20","        618.96","   33878294","         20969148430.50","     377498","    7374562","         21.77"
